category,goods_name,jpPrice,jporgPrice,referencePrice
化妝品,Cocochi 精華面膜 (金色款),"2,200JPY","2,200JPY",(約112.42CNY)
化妝品,Mentholatum 曼秀雷敦 SUNPLAY 防曬乳 超強阻斷α SPF50+/PA++++,198JPY,548JPY,(約10.12CNY)
化妝品,Queen's Premium 女王寶石面膜 緊緻毛孔 (5片裝),798JPY,798JPY,(約40.78CNY)
化妝品,Curel 潤浸保濕深層卸妝凝露,"1,200JPY","1,200JPY",(約61.32CNY)
化妝品,肌美精 滋潤浸透面膜 緊緻 4片,775JPY,775JPY,(約39.6CNY)
化妝品,SANA豆乳美肌本舖 保濕潔面乳 150g,780JPY,780JPY,(約39.86CNY)
化妝品,atrix Beauty charge 護手霜 蜂蜜 & 柚子香,768JPY,768JPY,(約39.24CNY)
化妝品,Curel 潤浸保濕洗顏慕絲 替換裝 130ml,"1,300JPY","1,300JPY",(約66.43CNY)
化妝品,CreerBeaute 凡尔赛玫瑰 金润透亮弹力保湿面膜（1片装）10片超值优惠套装,"3,980JPY","3,980JPY",(約203.38CNY)
化妝品,LITS 植物幹細胞精華面膜,"1,300JPY","1,600JPY",(約66.43CNY)
化妝品,【数量限定，超值套装】Kracie肌美精日本进口胶原滋养淡化细纹补水保湿粉色超浸透3D立体面膜 4片/盒 3盒套装,"1,500JPY","1,500JPY",(約76.65CNY)
化妝品,Pure Smile Choosy 保濕唇膜 蜜桃,128JPY,128JPY,(約6.54CNY)
化妝品,毛穴撫子 男性用面膜 10片,880JPY,880JPY,(約44.97CNY)
化妝品,Lashi 馬油保濕面膜,98JPY,548JPY,(約5.01CNY)
化妝品,CLEAR TURN 奢華版 金緻保濕面膜 膠原蛋白 4次份,830JPY,830JPY,(約42.41CNY)
化妝品,SK-Ⅱ 青春敷面膜(10片),"9,999JPY","14,500JPY",(約510.95CNY)
化妝品,洗顔專科 膠原彈潤洗顏泡泡,698JPY,698JPY,(約35.67CNY)
化妝品,花王 Biore UV Kids 孩童用清爽防曬乳,"1,080JPY","1,080JPY",(約55.19CNY)
化妝品,Pigeon 貝親 嬰兒牛奶乳液 120ml,660JPY,660JPY,(約33.73CNY)
化妝品,KOSÉ CLEAR TURN 眼膜 22次份,"1,080JPY","1,080JPY",(約55.19CNY)
化妝品,Nursery W 卸妝凝露 天然柚子,"1,380JPY","2,180JPY",(約70.52CNY)
化妝品,HABA　角鯊烷　無添加 化妝油,"3,280JPY","3,280JPY",(約167.61CNY)
化妝品,Silcot 高級化妝棉 柔軟細緻 100%天然棉,290JPY,375JPY,(約14.82CNY)
化妝品,AQUA LABEL 水之印 五合一膠原彈力抗皺乳霜(升級版),"2,180JPY","2,180JPY",(約111.4CNY)
化妝品,Mentholatum 曼秀雷敦 SUNPLAY 防曬乳 超清涼α SPF50+/PA++++,198JPY,548JPY,(約10.12CNY)
化妝品,SK-Ⅱ 青春敷面膜(1片),990JPY,"1,500JPY",(約50.59CNY)
化妝品,Pure Smile 日本江戶面膜 4片BOX組,"1,100JPY","1,100JPY",(約56.21CNY)
化妝品,Bifesta 即淨卸妝棉 水嫩即淨款N,460JPY,798JPY,(約23.51CNY)
化妝品,Cocochi 精華面膜 (藍色款),"2,200JPY","2,200JPY",(約112.42CNY)
化妝品,UNO 完效男人抗UV醒膚凍 (醫藥部外品),"1,300JPY","1,300JPY",(約66.43CNY)
化妝品,REVITAL 莉薇特麗 美頸緊實精華,"5,501JPY","6,800JPY",(約281.1CNY)
化妝品,CLEAR TURN WHITE 玻尿酸保濕面膜 1片,138JPY,138JPY,(約7.05CNY)
化妝品,HABA G-LOTION 純海潤澤柔膚露 180ml,"3,500JPY","3,500JPY",(約178.85CNY)
化妝品,LITS 白色 植物幹細胞美白面膜,"1,300JPY","1,700JPY",(約66.43CNY)
化妝品,資生堂 UNO 新 淨洗顏 130g,438JPY,438JPY,(約22.38CNY)
化妝品,Barrier Repair 膠原蛋白面膜 22ml x 5片,698JPY,880JPY,(約35.67CNY)
化妝品,凡爾賽玫瑰 奧斯卡 密著面膜 7片,"1,000JPY","1,000JPY",(約51.1CNY)
化妝品,Unicharm 絲柔化妝棉 (32片),310JPY,310JPY,(約15.84CNY)
化妝品,SK-Ⅱ FACIAL TREATMENT 亮采化妝水,"10,780JPY","10,780JPY",(約550.86CNY)
化妝品,Pure Smile Choosy 保濕唇膜 草本,128JPY,128JPY,(約6.54CNY)
化妝品,Bifesta 毛孔即淨卸妝棉 亮白潔淨 46片,680JPY,680JPY,(約34.75CNY)
化妝品,CLEAR TURN 彈力緊緻面膜 32片,"1,100JPY","1,100JPY",(約56.21CNY)
化妝品,悠斯晶 yuskin 滋潤保濕修護霜 120g,"1,100JPY","1,364JPY",(約56.21CNY)
化妝品,資生堂 嬰兒固體爽身粉,548JPY,548JPY,(約28CNY)
化妝品,Pigeon 貝親 嬰兒潤膚霜,660JPY,660JPY,(約33.73CNY)
化妝品,Saborino 晚安面膜 (28片裝),"1,450JPY","1,450JPY",(約74.09CNY)
化妝品,TAKAMI Skin Peel 角質軟化調理美容液,"5,500JPY","5,500JPY",(約281.05CNY)
化妝品,SHISEIDO资生堂Waterinlip水之密语日本进口温泉水保湿防干裂修护含北海道独特锁水分子润唇膏 3.5g,398JPY,398JPY,(約20.34CNY)
化妝品,Cocochi AG面膜 5片裝 櫻,"2,200JPY","2,200JPY",(約112.42CNY)
化妝品,【数量限定，超值套装】Kracie肌美精日本进口保湿嫩白提亮深层补水蓝色超浸透3D立体面膜 4片/盒 3盒套装,"1,500JPY","1,500JPY",(約76.65CNY)
化妝品,松山油脂 M-mark 米糠身體乳液 300ml,"1,750JPY","1,750JPY",(約89.42CNY)
化妝品,Fueki福而可日本进口小黄鸭补水护手霜 40g,498JPY,498JPY,(約25.45CNY)
化妝品,小林製藥 藥用除斑膏EX 加強版,"2,090JPY","2,090JPY",(約106.8CNY)
化妝品,ROHTO製藥 曼秀雷敦藥用護唇膏XD 4g 超值優惠5支套裝,500JPY,500JPY,(約25.55CNY)
化妝品,Emulsion Remover 控油潔膚水,"1,980JPY","1,980JPY",(約101.18CNY)
化妝品,REVITAL 莉薇特麗 全效乳液 EX Ⅱ,"7,700JPY","9,500JPY",(約393.47CNY)
化妝品,【 2瓶超值特惠套装】Mandom Bifesta 漫丹缤若诗敏感肌可用不刺激温和深层清洁眼唇三合一卸妆液 145ml 2瓶套装,"1,200JPY","1,200JPY",(約61.32CNY)
化妝品,SK-II/SK2提拉紧致收缩毛孔精华面霜大红瓶红罐80g,"16,800JPY","23,980JPY",(約858.48CNY)
化妝品,太陽蘆薈社 玻尿酸美容液 10ml,548JPY,548JPY,(約28CNY)
化妝品,SHISEIDO资生堂不老林护理健发防脱精华液蓬松控油洗头膏洗发水250ml,"2,185JPY","2,185JPY",(約111.65CNY)
化妝品,Parasola 潤色款 抗UV防曬精華,"1,080JPY","1,300JPY",(約55.19CNY)
化妝品,DHC蝶翠詩 純橄欖油蘆薈精華濃厚保濕滋潤防裂護手霜 無香料 姆明限定款 50g,598JPY,598JPY,(約30.56CNY)
化妝品,ANGFA SCALP-D 昂法女士天然有机洗发水350ml 预防脱发修复受损发质,"2,185JPY","2,185JPY",(約111.65CNY)
化妝品,milbon玫麗盼發膜 4 ( 9g×4支),880JPY,880JPY,(約44.97CNY)
化妝品,悠斯晶 yuskin 滋润保湿护手霜 米菲图案 40g,498JPY,498JPY,(約25.45CNY)
